trait_combo,cc.r,cc.n,cc.p,original.r,original.n,original.p,imputed.r,imputed.n,imputed.p,order_name
adult_forearm_len_mm/aet_mean_mm,-0.059724967,219,0.379088945,0.023749868,387,0.641380673,0.032331198,463,0.487691392,Chiroptera
adult_forearm_len_mm/mass_g.x,0.905319114,216,0,0.910309363,365,0,0.884538018,463,0,Chiroptera
adult_forearm_len_mm/pet_mean_mm,0.046069837,219,0.497625927,0.103573938,387,0.041707392,0.11831475,463,0.010837257,Chiroptera
adult_forearm_len_mm/precip_mean_mm,-0.071553777,220,0.29068368,0.027705254,391,0.584937529,0.027274387,463,0.558280574,Chiroptera
adult_forearm_len_mm/temp_mean_01deg_c,0.074454419,220,0.271518081,0.121507671,391,0.016222124,0.128127481,463,0.005764052,Chiroptera
adult_forearm_len_mm/temp_mean_01deg_c.1,0.074454419,220,0.271518081,0.074454419,220,0.271518081,0.09690214,235,0.138593691,Chiroptera
aet_mean_mm/mass_g.x,0.018804647,220,0.781508613,0.028706931,388,0.572922424,0.076897608,463,0.098409388,Chiroptera
aet_mean_mm/pet_mean_mm,0.785643732,234,0,0.750705398,438,0,0.755913755,463,0,Chiroptera
aet_mean_mm/precip_mean_mm,0.953240953,234,0,0.955137274,438,0,0.948143066,463,0,Chiroptera
aet_mean_mm/temp_mean_01deg_c,0.703672524,234,0,0.603119242,438,0,0.603292258,463,0,Chiroptera
aet_mean_mm/temp_mean_01deg_c.1,0.703672524,234,0,0.703672524,234,0,0.703969219,235,0,Chiroptera
mass_g.x/pet_mean_mm,0.101833314,220,0.132132745,0.102010995,388,0.044628226,0.135845768,463,0.003403404,Chiroptera
mass_g.x/precip_mean_mm,0.009761765,221,0.885263926,0.028703685,392,0.570981986,0.064972326,463,0.162794686,Chiroptera
mass_g.x/temp_mean_01deg_c,0.113513569,221,0.092302288,0.101207548,392,0.045225326,0.118394955,463,0.010783341,Chiroptera
mass_g.x/temp_mean_01deg_c.1,0.113513569,221,0.092302288,0.113513569,221,0.092302288,0.120553421,235,0.065047875,Chiroptera
pet_mean_mm/precip_mean_mm,0.678581429,234,0,0.642812504,438,0,0.642093024,463,0,Chiroptera
pet_mean_mm/temp_mean_01deg_c,0.883505363,234,0,0.854985575,438,0,0.853478826,463,0,Chiroptera
pet_mean_mm/temp_mean_01deg_c.1,0.883505363,234,0,0.883505363,234,0,0.883602434,235,0,Chiroptera
precip_mean_mm/temp_mean_01deg_c,0.616572114,235,0,0.50155746,446,0,0.503160187,463,0,Chiroptera
precip_mean_mm/temp_mean_01deg_c.1,0.616572114,235,0,0.616572114,235,0,0.616572114,235,0,Chiroptera
temp_mean_01deg_c/temp_mean_01deg_c.1,1,235,0,0.999993043,235,0,0.999993043,235,0,Chiroptera
